"study","auc","error_rate","accuracy","kappa","mtry","group","seed"
"validation",0.808080808080808,0.32177576420703,0.55,0.0217391304347826,50,"species",1045
"validation",0.585858585858586,0.37977771316074,0.65,0.25531914893617,20,"species",1046
"validation",0.782828282828283,0.335143540896477,0.65,0.25531914893617,31,"species",1047
"validation",0.666666666666667,0.348764734080128,0.55,0.0425531914893617,44,"species",1048
"validation",0.696969696969697,0.356284632683508,0.55,0.0425531914893617,116,"species",1049
"validation",0.671717171717172,0.344292441043842,0.6,0.139784946236559,18,"species",1050
"validation",0.858585858585859,0.322550924185805,0.6,0.120879120879121,21,"subtype",951
"validation",0.767676767676768,0.350634600711153,0.6,0.120879120879121,13,"subtype",952
"validation",0.843434343434343,0.354478798632711,0.6,0.120879120879121,17,"subtype",953
"validation",0.782828282828283,0.335625586209762,0.55,0,17,"subtype",954
"validation",0.808080808080808,0.346280365463159,0.5,-0.0989010989010987,12,"subtype",955
"validation",0.767676767676768,0.36431374688556,0.55,0,9,"subtype",956
"validation",0.858585858585859,0.340104499171325,0.6,0.120879120879121,26,"subtype",957
"validation",0.838383838383838,0.320799803029858,0.55,0,26,"subtype",958
"validation",0.878787878787879,0.351276980296527,0.6,0.120879120879121,14,"subtype",959
"validation",0.767676767676768,0.329181158005219,0.55,0,14,"subtype",960
"validation",0.833333333333333,0.319838642753054,0.6,0.120879120879121,24,"subtype",961
"validation",0.878787878787879,0.349093899280291,0.55,0.0217391304347826,16,"subtype",962
"validation",0.858585858585859,0.337006856789445,0.55,0,18,"subtype",963
"validation",0.803030303030303,0.347820505549316,0.6,0.120879120879121,16,"subtype",964
"validation",0.878787878787879,0.331616664570659,0.55,0,34,"subtype",965
"validation",0.767676767676768,0.335160462984117,0.55,0.0217391304347826,42,"subtype",966
"validation",0.868686868686869,0.33503171176834,0.6,0.120879120879121,22,"subtype",967
"validation",0.813131313131313,0.34597231194372,0.55,0,12,"subtype",968
"validation",0.868686868686869,0.348503248401785,0.6,0.120879120879121,158,"subtype",969
"validation",0.767676767676768,0.317092760037466,0.6,0.120879120879121,20,"subtype",970
"validation",0.797979797979798,0.333419506110864,0.6,0.120879120879121,29,"subtype",971
"validation",0.868686868686869,0.349309626511968,0.6,0.120879120879121,15,"subtype",972
"validation",0.833333333333333,0.316574872876169,0.55,0,24,"subtype",973
"validation",0.878787878787879,0.341263850939994,0.6,0.120879120879121,69,"subtype",974
"validation",0.833333333333333,0.321311200237372,0.55,0.0217391304347826,55,"subtype",975
"validation",0.808080808080808,0.347458044828956,0.6,0.120879120879121,17,"subtype",976
"validation",0.888888888888889,0.330634454029885,0.55,0,27,"subtype",977
"validation",0.909090909090909,0.324894128136897,0.6,0.120879120879121,44,"subtype",978
"validation",0.772727272727273,0.324561001549513,0.55,0,37,"subtype",979
"validation",0.813131313131313,0.339524604207758,0.6,0.120879120879121,14,"subtype",980
"validation",0.803030303030303,0.332480795741459,0.6,0.120879120879121,14,"subtype",981
"validation",0.808080808080808,0.349525577918244,0.6,0.120879120879121,11,"subtype",982
"validation",0.848484848484849,0.358726267723931,0.6,0.120879120879121,15,"subtype",983
"validation",0.818181818181818,0.345116348454237,0.6,0.120879120879121,12,"subtype",984
"validation",0.792929292929293,0.341997585092335,0.55,0.0217391304347826,31,"subtype",985
"validation",0.747474747474748,0.312759816453283,0.55,0.0217391304347826,32,"subtype",986
"validation",0.828282828282828,0.342838977022261,0.6,0.120879120879121,37,"subtype",987
"validation",0.747474747474748,0.336984068925129,0.6,0.120879120879121,23,"subtype",988
"validation",0.803030303030303,0.353989850883347,0.6,0.120879120879121,14,"subtype",989
