"number","n_gene","cat"
"GO:0036245",545,"GOs"
"GO:0071310",545,"GOs"
"GO:0072756",545,"GOs"
"GO:1901562",545,"GOs"
"GO:1901654",545,"GOs"
"GO:1901655",545,"GOs"
"GO:0043169",430,"GOs"
"GO:0046872",428,"GOs"
"GO:0055086",371,"GOs"
"GO:0043933",364,"GOs"
"GO:0065003",363,"GOs"
"GO:0051259",351,"GOs"
"GO:0006753",253,"GOs"
"GO:0009117",253,"GOs"
"GO:0009259",252,"GOs"
"GO:0019693",252,"GOs"
"GO:0072521",252,"GOs"
"GO:0006163",250,"GOs"
"GO:0006508",246,"GOs"
"GO:0008233",244,"GOs"
"GO:0016746",240,"GOs"
"GO:0016747",240,"GOs"
"GO:0070011",238,"GOs"
"GO:0051260",237,"GOs"
"GO:0046914",235,"GOs"
"GO:0008236",226,"GOs"
"GO:0017171",226,"GOs"
"GO:0017144",215,"GOs"
"GO:0016765",214,"GOs"
"GO:0009150",211,"GOs"
"GO:0009165",211,"GOs"
"GO:1901293",211,"GOs"
"GO:0009260",210,"GOs"
"GO:0016741",210,"GOs"
"GO:0019898",210,"GOs"
"GO:0046390",210,"GOs"
"GO:0072522",209,"GOs"
"GO:0006164",208,"GOs"
"GO:0009152",208,"GOs"
"GO:0004016",207,"GOs"
"GO:0006171",207,"GOs"
"GO:0009187",207,"GOs"
"GO:0009190",207,"GOs"
"GO:0009975",207,"GOs"
"GO:0016849",207,"GOs"
"GO:0046058",207,"GOs"
"GO:0052652",207,"GOs"
"GO:0000287",196,"GOs"
"GO:0007049",177,"GOs"
"GO:0022402",177,"GOs"
"GO:0000819",173,"GOs"
"GO:0098813",173,"GOs"
"GO:0006276",172,"GOs"
"GO:0007062",172,"GOs"
"GO:0030541",172,"GOs"
"GO:0019897",168,"GOs"
"GO:0051186",168,"GOs"
"GO:0051188",165,"GOs"
"GO:0006396",162,"GOs"
"GO:0009401",160,"GOs"
"GO:0004364",159,"GOs"
"GO:0006875",158,"GOs"
"GO:0055065",158,"GOs"
"GO:0006766",144,"GOs"
"GO:0006767",144,"GOs"
"GO:0009110",144,"GOs"
"GO:0042364",144,"GOs"
"GO:0046916",144,"GOs"
"GO:0055076",144,"GOs"
"GO:0006732",143,"GOs"
"GO:0009108",142,"GOs"
"GO:0006790",135,"GOs"
"GO:0008965",134,"GOs"
"GO:0019197",134,"GOs"
"GO:0006631",132,"GOs"
"GO:0006633",131,"GOs"
"GO:0034470",126,"GOs"
"GO:0050662",125,"GOs"
"GO:0098754",125,"GOs"
"GO:0009451",123,"GOs"
"GO:0044272",123,"GOs"
"GO:0016627",122,"GOs"
"GO:0031522",122,"GOs"
"GO:0004312",121,"GOs"
"GO:0016628",121,"GOs"
"GO:0051262",120,"GOs"
"GO:0051289",120,"GOs"
"GO:0000041",119,"GOs"
"GO:0004318",119,"GOs"
"GO:0006768",119,"GOs"
"GO:0009102",119,"GOs"
"GO:0016830",119,"GOs"
"GO:0030497",119,"GOs"
"GO:0070206",119,"GOs"
"GO:0016831",118,"GOs"
"GO:0042157",117,"GOs"
"GO:0070207",117,"GOs"
"GO:0005375",116,"GOs"
"GO:0005507",116,"GOs"
"GO:0006497",116,"GOs"
"GO:0006825",116,"GOs"
"GO:0006878",116,"GOs"
"GO:0010272",116,"GOs"
"GO:0010273",116,"GOs"
"GO:0018345",116,"GOs"
"GO:0019992",116,"GOs"
"GO:0035434",116,"GOs"
"GO:0042158",116,"GOs"
"GO:0043543",116,"GOs"
"GO:0046688",116,"GOs"
"GO:0046915",116,"GOs"
"GO:0055070",116,"GOs"
"GO:0060003",116,"GOs"
"GO:0061687",116,"GOs"
"GO:0097501",116,"GOs"
"GO:1990169",116,"GOs"
"GO:1901361",115,"GOs"
"GO:0022613",114,"GOs"
"GO:0042254",113,"GOs"
"GO:0006040",112,"GOs"
"GO:0009225",112,"GOs"
"GO:0009226",112,"GOs"
"GO:0016742",112,"GOs"
"GO:0033319",112,"GOs"
"GO:0033320",112,"GOs"
"GO:0034214",112,"GOs"
"GO:0046349",112,"GOs"
"GO:0048040",112,"GOs"
"GO:0051287",112,"GOs"
"GO:0070403",112,"GOs"
"GO:0099618",112,"GOs"
"GO:0099619",112,"GOs"
