"number","n_gene","cat"
"2.1.1.163",3,"EC"
"2.1.1.191",3,"EC"
"2.1.1.192",3,"EC"
"2.1.1.201",3,"EC"
"2.1.1.45",3,"EC"
"2.3.1.39",3,"EC"
"2.4.2.29",3,"EC"
"2.5.1.30",3,"EC"
"2.5.1.83",3,"EC"
"2.6.1.11",3,"EC"
"2.6.1.17",3,"EC"
"2.7.1.119",3,"EC"
"2.7.1.194",3,"EC"
"2.7.1.2",3,"EC"
"2.7.7.13",3,"EC"
"2.7.7.80",3,"EC"
"2.7.8.13",3,"EC"
"2.8.1.11",3,"EC"
"3.1.1.29",3,"EC"
"3.1.26.3",3,"EC"
"3.2.1.10",3,"EC"
"3.2.1.23",3,"EC"
"3.2.1.51",3,"EC"
"3.4.11.1",3,"EC"
"3.4.11.2",3,"EC"
"3.5.1.16",3,"EC"
"3.5.2.2",3,"EC"
"3.5.3.7",3,"EC"
"3.5.4.1",3,"EC"
"3.6.1.1",3,"EC"
"3.6.3.14",3,"EC"
"4.1.1.37",3,"EC"
"4.1.1.70",3,"EC"
"5.3.1.24",3,"EC"
"5.3.1.28",3,"EC"
"5.4.2.7",3,"EC"
"5.4.99.25",3,"EC"
"6.1.1.14",3,"EC"
"6.1.1.16",3,"EC"
"6.3.2.9",3,"EC"
"1.1.1.1",2,"EC"
"1.1.1.122",2,"EC"
"1.1.1.25",2,"EC"
"1.1.1.335",2,"EC"
"1.1.1.363",2,"EC"
"1.1.1.49",2,"EC"
"1.1.1.85",2,"EC"
"1.1.1.86",2,"EC"
"1.2.4.4",2,"EC"
"1.3.5.4",2,"EC"
"1.5.1.39",2,"EC"
"2.1.1.170",2,"EC"
"2.1.1.246",2,"EC"
"2.1.1.301",2,"EC"
"2.1.1.33",2,"EC"
"2.1.3.3",2,"EC"
"2.2.1.7",2,"EC"
"2.3.1.182",2,"EC"
"2.3.1.201",2,"EC"
"2.3.2.5",2,"EC"
"2.4.1.227",2,"EC"
"2.4.2.18",2,"EC"
"2.4.99.16",2,"EC"
"2.5.1.105",2,"EC"
"2.5.1.54",2,"EC"
"2.6.1.13",2,"EC"
"2.6.1.42",2,"EC"
"2.7.1.165",2,"EC"
"2.7.1.50",2,"EC"
"2.7.2.4",2,"EC"
"2.7.2.7",2,"EC"
"2.7.4.8",2,"EC"
"2.7.7.12",2,"EC"
"2.7.7.72",2,"EC"
"2.7.7.85",2,"EC"
"2.7.8.41",2,"EC"
"3.1.11.6",2,"EC"
"3.1.3.18",2,"EC"
"3.1.3.25",2,"EC"
"3.2.1.18",2,"EC"
"3.2.1.4",2,"EC"
"3.2.1.41",2,"EC"
"3.2.1.89",2,"EC"
"3.4.11.4",2,"EC"
"3.4.21.105",2,"EC"
"3.4.21.107",2,"EC"
"3.4.23.36",2,"EC"
"3.4.24.15",2,"EC"
"3.5.1.6",2,"EC"
"3.5.1.87",2,"EC"
"3.5.3.17",2,"EC"
"3.5.99.6",2,"EC"
"3.6.1.11",2,"EC"
"3.6.1.22",2,"EC"
"3.6.1.31",2,"EC"
"3.6.1.40",2,"EC"
"3.6.1.55",2,"EC"
"3.6.3.54",2,"EC"
"4.1.1.20",2,"EC"
"4.1.1.39",2,"EC"
"4.1.1.47",2,"EC"
"4.1.1.81",2,"EC"
"4.2.1.10",2,"EC"
"4.2.1.11",2,"EC"
"4.2.1.126",2,"EC"
"4.2.1.33",2,"EC"
"4.2.1.35",2,"EC"
"4.2.3.5",2,"EC"
"4.4.1.21",2,"EC"
"5.1.3.14",2,"EC"
"5.1.3.15",2,"EC"
"5.3.1.8",2,"EC"
"5.4.2.11",2,"EC"
"5.4.99.26",2,"EC"
"6.1.1.21",2,"EC"
"6.3.2.12",2,"EC"
"6.3.2.17",2,"EC"
"6.3.2.6",2,"EC"
"6.3.2.8",2,"EC"
"6.3.4.18",2,"EC"
"6.3.4.19",2,"EC"
"6.3.4.3",2,"EC"
"6.3.4.4",2,"EC"
"1.1.1.100",1,"EC"
"1.1.1.169",1,"EC"
"1.1.1.193",1,"EC"
"1.1.1.205",1,"EC"
"1.1.1.3",1,"EC"
"1.1.1.35",1,"EC"
"1.1.1.38",1,"EC"
"1.1.1.57",1,"EC"
"1.1.2.3",1,"EC"
"1.1.98.6",1,"EC"
"1.13.11.81",1,"EC"
"1.14.14.5",1,"EC"
"1.17.1.9",1,"EC"
"1.17.7.1",1,"EC"
"1.17.7.3",1,"EC"
"1.17.99.7",1,"EC"
"1.18.1.3",1,"EC"
"1.2.1.10",1,"EC"
"1.2.1.38",1,"EC"
"1.2.1.70",1,"EC"
"1.2.4.1",1,"EC"
"1.2.7.8",1,"EC"
"1.3.1.25",1,"EC"
"1.3.1.28",1,"EC"
"1.3.1.29",1,"EC"
"1.3.1.60",1,"EC"
"1.3.1.87",1,"EC"
"1.3.5.1",1,"EC"
"1.3.8.1",1,"EC"
"1.3.8.7",1,"EC"
"1.5.1.2",1,"EC"
"1.5.1.38",1,"EC"
"1.5.1.5",1,"EC"
"1.7.2.2",1,"EC"
"1.8.1.4",1,"EC"
"1.8.4.10",1,"EC"
"1.8.4.8",1,"EC"
"1.8.5.6",1,"EC"
"1.9.3.1",1,"EC"
"2.1.1.222",1,"EC"
"2.1.1.228",1,"EC"
"2.1.1.342",1,"EC"
"2.1.1.64",1,"EC"
"2.1.3.2",1,"EC"
"2.3.1.102",1,"EC"
"2.3.1.157",1,"EC"
"2.3.1.187",1,"EC"
"2.3.1.247",1,"EC"
"2.3.1.26",1,"EC"
"2.3.1.51",1,"EC"
"2.3.1.8",1,"EC"
"2.3.2.10",1,"EC"
"2.4.1.109",1,"EC"
"2.4.1.15",1,"EC"
"2.4.1.18",1,"EC"
"2.4.1.20",1,"EC"
"2.4.1.319",1,"EC"
"2.4.1.320",1,"EC"
"2.4.1.347",1,"EC"
"2.4.2.12",1,"EC"
"2.4.2.9",1,"EC"
"2.5.1.78",1,"EC"
"2.6.1.19",1,"EC"
"2.6.1.22",1,"EC"
"2.7.1.130",1,"EC"
"2.7.1.193",1,"EC"
"2.7.1.197",1,"EC"
"2.7.1.204",1,"EC"
"2.7.1.211",1,"EC"
"2.7.1.23",1,"EC"
"2.7.1.4",1,"EC"
"2.7.1.49",1,"EC"
"2.7.1.6",1,"EC"
"2.7.11.33",1,"EC"
"2.7.2.1",1,"EC"
"2.7.4.16",1,"EC"
"2.7.4.28",1,"EC"
"2.7.4.6",1,"EC"
"2.7.4.7",1,"EC"
"2.7.6.2",1,"EC"
"2.7.7.19",1,"EC"
"2.7.7.23",1,"EC"
"2.7.7.27",1,"EC"
"2.7.7.33",1,"EC"
"2.7.7.49",1,"EC"
"2.7.7.56",1,"EC"
"2.7.7.60",1,"EC"
"2.7.7.71",1,"EC"
"2.7.8.12",1,"EC"
"2.8.1.1",1,"EC"
"2.8.1.10",1,"EC"
"2.8.1.13",1,"EC"
"2.8.1.2",1,"EC"
"2.8.3.16",1,"EC"
"2.9.1.1",1,"EC"
"3.1.1.11",1,"EC"
"3.1.1.31",1,"EC"
"3.1.11.1",1,"EC"
"3.1.13.3",1,"EC"
"3.1.21.4",1,"EC"
"3.1.21.5",1,"EC"
"3.1.26.11",1,"EC"
"3.1.3.100",1,"EC"
"3.1.3.102",1,"EC"
"3.1.3.104",1,"EC"
"3.1.3.12",1,"EC"
"3.1.3.2",1,"EC"
"3.1.3.7",1,"EC"
"3.1.3.74",1,"EC"
"3.1.3.82",1,"EC"
"3.1.3.83",1,"EC"
"3.1.4.3",1,"EC"
"3.1.4.58",1,"EC"
"3.2.1.1",1,"EC"
"3.2.1.122",1,"EC"
"3.2.1.177",1,"EC"
"3.2.1.37",1,"EC"
"3.2.2.21",1,"EC"
"3.4.11.18",1,"EC"
"3.4.13.19",1,"EC"
"3.4.13.21",1,"EC"
"3.4.17.19",1,"EC"
"3.4.21.83",1,"EC"
"3.4.22.70",1,"EC"
"3.4.24.11",1,"EC"
"3.4.24.55",1,"EC"
"3.4.24.71",1,"EC"
"3.5.1.1",1,"EC"
"3.5.1.115",1,"EC"
"3.5.1.18",1,"EC"
"3.5.1.32",1,"EC"
"3.5.1.49",1,"EC"
"3.5.1.5",1,"EC"
"3.5.2.3",1,"EC"
"3.5.4.19",1,"EC"
"3.5.4.26",1,"EC"
"3.5.4.5",1,"EC"
"3.5.4.9",1,"EC"
"3.6.1.66",1,"EC"
"3.6.3.17",1,"EC"
"3.6.3.28",1,"EC"
"3.6.3.41",1,"EC"
"3.6.3.44",1,"EC"
"4.1.1.101",1,"EC"
"4.1.1.17",1,"EC"
"4.1.1.31",1,"EC"
"4.1.1.52",1,"EC"
"4.1.1.65",1,"EC"
"4.1.1.96",1,"EC"
"4.1.2.13",1,"EC"
"4.1.2.14",1,"EC"
"4.1.2.17",1,"EC"
"4.1.2.25",1,"EC"
"4.1.2.4",1,"EC"
"4.1.2.40",1,"EC"
"4.1.3.3",1,"EC"
"4.2.1.1",1,"EC"
"4.2.1.17",1,"EC"
"4.2.1.20",1,"EC"
"4.2.1.45",1,"EC"
"4.2.1.70",1,"EC"
"4.2.1.75",1,"EC"
"4.2.1.80",1,"EC"
"4.2.2.23",1,"EC"
"4.2.99.21",1,"EC"
"4.3.1.15",1,"EC"
"4.3.1.19",1,"EC"
"4.3.1.29",1,"EC"
"4.3.99.3",1,"EC"
"5.1.1.7",1,"EC"
"5.1.2.3",1,"EC"
"5.1.99.8",1,"EC"
"5.3.1.16",1,"EC"
"5.3.1.6",1,"EC"
"5.3.1.9",1,"EC"
"5.3.3.10",1,"EC"
"5.3.3.8",1,"EC"
"5.4.2.6",1,"EC"
"5.4.2.8",1,"EC"
"5.4.3.8",1,"EC"
"5.4.4.2",1,"EC"
"5.4.99.5",1,"EC"
"5.4.99.62",1,"EC"
"5.4.99.9",1,"EC"
"6.1.1.12",1,"EC"
"6.1.1.15",1,"EC"
"6.1.1.19",1,"EC"
"6.1.1.20",1,"EC"
"6.1.1.23",1,"EC"
"6.1.1.3",1,"EC"
"6.1.1.4",1,"EC"
"6.2.1.13",1,"EC"
"6.2.1.17",1,"EC"
"6.2.1.5",1,"EC"
"6.3.3.1",1,"EC"
"6.3.4.13",1,"EC"
"6.3.4.15",1,"EC"
"6.3.4.21",1,"EC"
"6.3.5.5",1,"EC"
"M00647",28445,"KEGG_Module"
"M00646",18621,"KEGG_Module"
"M00701",18429,"KEGG_Module"
"M00648",17863,"KEGG_Module"
"M00696",15153,"KEGG_Module"
"M00718",14997,"KEGG_Module"
"M00699",14562,"KEGG_Module"
"M00767",9960,"KEGG_Module"
"M00628",9846,"KEGG_Module"
"M00711",9738,"KEGG_Module"
"M00627",7742,"KEGG_Module"
"M00697",7095,"KEGG_Module"
"M00641",6957,"KEGG_Module"
"M00721",6618,"KEGG_Module"
"M00645",6603,"KEGG_Module"
"M00450",6463,"KEGG_Module"
"M00746",5451,"KEGG_Module"
"M00649",5034,"KEGG_Module"
"M00655",4752,"KEGG_Module"
"M00761",4451,"KEGG_Module"
"M00126",4409,"KEGG_Module"
"M00840",4390,"KEGG_Module"
"M00706",4097,"KEGG_Module"
"M00722",3970,"KEGG_Module"
"M00723",3868,"KEGG_Module"
"M00477",3600,"KEGG_Module"
"M00717",3342,"KEGG_Module"
"M00702",3025,"KEGG_Module"
"M00183",2813,"KEGG_Module"
"M00668",2625,"KEGG_Module"
"M00727",2487,"KEGG_Module"
"M00728",2484,"KEGG_Module"
"M00447",2482,"KEGG_Module"
"M00821",2325,"KEGG_Module"
"M00822",2269,"KEGG_Module"
"M00625",2205,"KEGG_Module"
"M00704",1990,"KEGG_Module"
"M00454",1945,"KEGG_Module"
"M00325",1839,"KEGG_Module"
"M00326",1839,"KEGG_Module"
"M00339",1839,"KEGG_Module"
"M00571",1839,"KEGG_Module"
"M00575",1839,"KEGG_Module"
"M00709",1839,"KEGG_Module"
"M00720",1839,"KEGG_Module"
"M00362",1806,"KEGG_Module"
"M00361",1801,"KEGG_Module"
"M00474",1764,"KEGG_Module"
"M00359",1762,"KEGG_Module"
"M00360",1762,"KEGG_Module"
"M00014",1692,"KEGG_Module"
"M00129",1685,"KEGG_Module"
"M00715",1683,"KEGG_Module"
"M00765",1382,"KEGG_Module"
"M00700",1154,"KEGG_Module"
"M00178",1146,"KEGG_Module"
"M00768",1120,"KEGG_Module"
"M00652",1101,"KEGG_Module"
"M00710",973,"KEGG_Module"
"M00760",907,"KEGG_Module"
"M00769",907,"KEGG_Module"
"M00766",864,"KEGG_Module"
"M00642",809,"KEGG_Module"
"M00726",669,"KEGG_Module"
"M00643",654,"KEGG_Module"
"M00651",564,"KEGG_Module"
"M00708",529,"KEGG_Module"
"M00705",501,"KEGG_Module"
"M00179",500,"KEGG_Module"
"M00639",468,"KEGG_Module"
"M00644",447,"KEGG_Module"
"M00716",422,"KEGG_Module"
"M00657",314,"KEGG_Module"
"M00745",291,"KEGG_Module"
"M00707",252,"KEGG_Module"
"M00635",251,"KEGG_Module"
"M00729",211,"KEGG_Module"
"M00446",195,"KEGG_Module"
"M00654",195,"KEGG_Module"
"M00698",182,"KEGG_Module"
"M00335",168,"KEGG_Module"
"M00453",153,"KEGG_Module"
"M00083",141,"KEGG_Module"
"M00306",133,"KEGG_Module"
"M00572",130,"KEGG_Module"
"M00632",120,"KEGG_Module"
"M00221",97,"KEGG_Module"
"M00125",89,"KEGG_Module"
"M00254",82,"KEGG_Module"
"M00334",80,"KEGG_Module"
"M00122",72,"KEGG_Module"
"M00237",45,"KEGG_Module"
"M00240",45,"KEGG_Module"
"M00793",45,"KEGG_Module"
"M00241",42,"KEGG_Module"
"M00009",41,"KEGG_Module"
"M00173",41,"KEGG_Module"
"M00713",37,"KEGG_Module"
"M00714",37,"KEGG_Module"
"M00035",36,"KEGG_Module"
"M00022",32,"KEGG_Module"
"M00153",29,"KEGG_Module"
"M00319",29,"KEGG_Module"
"M00010",28,"KEGG_Module"
"M00012",28,"KEGG_Module"
"M00740",28,"KEGG_Module"
"M00376",25,"KEGG_Module"
"M00275",24,"KEGG_Module"
"M00373",24,"KEGG_Module"
"M00741",24,"KEGG_Module"
"M00207",21,"KEGG_Module"
"M00429",21,"KEGG_Module"
"M00449",21,"KEGG_Module"
"M00841",19,"KEGG_Module"
"M00049",17,"KEGG_Module"
"M00023",16,"KEGG_Module"
"M00017",15,"KEGG_Module"
"M00001",14,"KEGG_Module"
"M00082",14,"KEGG_Module"
"M00135",14,"KEGG_Module"
"M00196",14,"KEGG_Module"
"M00439",14,"KEGG_Module"
"M00845",14,"KEGG_Module"
"M00011",13,"KEGG_Module"
"M00603",13,"KEGG_Module"
"M00061",12,"KEGG_Module"
"M00239",12,"KEGG_Module"
"M00243",12,"KEGG_Module"
"M00374",12,"KEGG_Module"
"M00048",11,"KEGG_Module"
"M00159",11,"KEGG_Module"
"M00165",11,"KEGG_Module"
"M00346",11,"KEGG_Module"
"M00480",11,"KEGG_Module"
"M00481",11,"KEGG_Module"
"M00754",11,"KEGG_Module"
"M00003",10,"KEGG_Module"
"M00144",10,"KEGG_Module"
"M00273",10,"KEGG_Module"
"M00434",10,"KEGG_Module"
"M00620",10,"KEGG_Module"
"M00002",9,"KEGG_Module"
"M00004",9,"KEGG_Module"
"M00016",9,"KEGG_Module"
"M00020",9,"KEGG_Module"
"M00029",9,"KEGG_Module"
"M00046",9,"KEGG_Module"
"M00053",9,"KEGG_Module"
"M00140",9,"KEGG_Module"
"M00317",9,"KEGG_Module"
"M00532",9,"KEGG_Module"
"M00736",9,"KEGG_Module"
"M00813",9,"KEGG_Module"
"M00844",9,"KEGG_Module"
"M00026",8,"KEGG_Module"
"M00133",8,"KEGG_Module"
"M00432",8,"KEGG_Module"
"M00028",7,"KEGG_Module"
"M00093",7,"KEGG_Module"
"M00236",7,"KEGG_Module"
"M00258",7,"KEGG_Module"
"M00036",6,"KEGG_Module"
"M00114",6,"KEGG_Module"
"M00121",6,"KEGG_Module"
"M00141",6,"KEGG_Module"
"M00167",6,"KEGG_Module"
"M00280",6,"KEGG_Module"
"M00299",6,"KEGG_Module"
"M00525",6,"KEGG_Module"
"M00535",6,"KEGG_Module"
"M00007",5,"KEGG_Module"
"M00034",5,"KEGG_Module"
"M00115",5,"KEGG_Module"
"M00166",5,"KEGG_Module"
"M00190",5,"KEGG_Module"
"M00527",5,"KEGG_Module"
"M00570",5,"KEGG_Module"
"M00582",5,"KEGG_Module"
"M00742",5,"KEGG_Module"
"M00019",4,"KEGG_Module"
"M00045",4,"KEGG_Module"
"M00050",4,"KEGG_Module"
"M00064",4,"KEGG_Module"
"M00096",4,"KEGG_Module"
"M00116",4,"KEGG_Module"
"M00117",4,"KEGG_Module"
"M00127",4,"KEGG_Module"
"M00194",4,"KEGG_Module"
"M00197",4,"KEGG_Module"
"M00200",4,"KEGG_Module"
"M00201",4,"KEGG_Module"
"M00206",4,"KEGG_Module"
"M00491",4,"KEGG_Module"
"M00526",4,"KEGG_Module"
"M00602",4,"KEGG_Module"
"M00605",4,"KEGG_Module"
"M00606",4,"KEGG_Module"
"M00667",4,"KEGG_Module"
"M00006",3,"KEGG_Module"
"M00008",3,"KEGG_Module"
"M00018",3,"KEGG_Module"
"M00051",3,"KEGG_Module"
"M00119",3,"KEGG_Module"
"M00267",3,"KEGG_Module"
"M00283",3,"KEGG_Module"
"M00308",3,"KEGG_Module"
"M00377",3,"KEGG_Module"
"M00519",3,"KEGG_Module"
"M00545",3,"KEGG_Module"
"M00549",3,"KEGG_Module"
"M00550",3,"KEGG_Module"
"M00552",3,"KEGG_Module"
"M00554",3,"KEGG_Module"
"M00609",3,"KEGG_Module"
"M00656",3,"KEGG_Module"
"M00817",3,"KEGG_Module"
"M00033",2,"KEGG_Module"
"M00087",2,"KEGG_Module"
"M00131",2,"KEGG_Module"
"M00157",2,"KEGG_Module"
"M00223",2,"KEGG_Module"
"M00244",2,"KEGG_Module"
"M00245",2,"KEGG_Module"
"M00246",2,"KEGG_Module"
"M00259",2,"KEGG_Module"
"M00271",2,"KEGG_Module"
"M00276",2,"KEGG_Module"
"M00279",2,"KEGG_Module"
"M00287",2,"KEGG_Module"
"M00307",2,"KEGG_Module"
"M00330",2,"KEGG_Module"
"M00332",2,"KEGG_Module"
"M00333",2,"KEGG_Module"
"M00336",2,"KEGG_Module"
"M00356",2,"KEGG_Module"
"M00357",2,"KEGG_Module"
"M00394",2,"KEGG_Module"
"M00542",2,"KEGG_Module"
"M00565",2,"KEGG_Module"
"M00579",2,"KEGG_Module"
"M00583",2,"KEGG_Module"
"M00660",2,"KEGG_Module"
"M00712",2,"KEGG_Module"
"M00762",2,"KEGG_Module"
"M00013",1,"KEGG_Module"
"M00015",1,"KEGG_Module"
"M00024",1,"KEGG_Module"
"M00025",1,"KEGG_Module"
"M00027",1,"KEGG_Module"
"M00032",1,"KEGG_Module"
"M00052",1,"KEGG_Module"
"M00060",1,"KEGG_Module"
"M00081",1,"KEGG_Module"
"M00089",1,"KEGG_Module"
"M00134",1,"KEGG_Module"
"M00149",1,"KEGG_Module"
"M00150",1,"KEGG_Module"
"M00155",1,"KEGG_Module"
"M00158",1,"KEGG_Module"
"M00168",1,"KEGG_Module"
"M00170",1,"KEGG_Module"
"M00171",1,"KEGG_Module"
"M00172",1,"KEGG_Module"
"M00176",1,"KEGG_Module"
"M00188",1,"KEGG_Module"
"M00222",1,"KEGG_Module"
"M00230",1,"KEGG_Module"
"M00234",1,"KEGG_Module"
"M00238",1,"KEGG_Module"
"M00242",1,"KEGG_Module"
"M00265",1,"KEGG_Module"
"M00266",1,"KEGG_Module"
"M00268",1,"KEGG_Module"
"M00269",1,"KEGG_Module"
"M00270",1,"KEGG_Module"
"M00272",1,"KEGG_Module"
"M00274",1,"KEGG_Module"
"M00300",1,"KEGG_Module"
"M00303",1,"KEGG_Module"
"M00331",1,"KEGG_Module"
"M00344",1,"KEGG_Module"
"M00345",1,"KEGG_Module"
"M00351",1,"KEGG_Module"
"M00458",1,"KEGG_Module"
"M00495",1,"KEGG_Module"
"M00509",1,"KEGG_Module"
"M00530",1,"KEGG_Module"
"M00533",1,"KEGG_Module"
"M00534",1,"KEGG_Module"
"M00551",1,"KEGG_Module"
"M00569",1,"KEGG_Module"
"M00581",1,"KEGG_Module"
"M00585",1,"KEGG_Module"
"M00589",1,"KEGG_Module"
"M00610",1,"KEGG_Module"
"M00631",1,"KEGG_Module"
"M00719",1,"KEGG_Module"
"M00734",1,"KEGG_Module"
"M00737",1,"KEGG_Module"
"M00743",1,"KEGG_Module"
"M00806",1,"KEGG_Module"
"M00807",1,"KEGG_Module"
